ID,User ID,Category ID,Título,Descripción,Precio,Ciudad,Región,Región2,Código Postal,URL Imagen,Reservado,Es Enviable,Usuario Permite Envío,Favorito,Creado En,Modificado En,Es Favoritable,Está Refurbished,Perfil Top,Tiene Garantía,Categorías,Enlace,User Micro Name,User Gender,User City,User Register Date,User Image URL,User Web Slug,User URL Share
8z8ko5p2n1z3,mznllw7k0yjn,24200,oferta de moviles y portateles y tables ,"vendo 8 moviles todos faltan plantallas  2 portateles uno hp y otro asus ,como nuevos  u 2 tablit",0.00 EUR,Beniajan,Región de Murcia,Murcia,30570,https://cdn.wallapop.com/images/10420/iq/oe/__/c10420p1133200322/i5653185555.jpg?pictureSize=W800,False,False,False,False,2025-05-17 17:13:30,2025-05-17 17:13:46,True,False,False,False,Tecnología y electrónica > Informática: ordenadores y tablets > Portátiles,https://es.wallapop.com/item/oferta-de-moviles-y-portateles-y-tables-1133200322,Abderazak L.,undefined,Beniajan,2021-06-19 10:38:15,https://cdn.wallapop.com/images/13/6m/j6/__/c13p400643373/i2061819660.jpg?pictureSize=W1024,abderazakl-400643373,https://www.wallapop.com/user/abderazakl-400643373?_pid=wi
x6qm5v1qxejy,wzvy2x2gg4zl,24200,Nacon Pro - Control PS4 Negro,"play 4 desconfigurado Control Nacon Pro para PlayStation 4 en color negro. Está en muy buen estado, prácticamente impecable.  cambio por otra cosa    EN MADRID AL LADO DE CHAMARTIN",0.00 EUR,Madrid,Comunidad de Madrid,Madrid,28009,https://cdn.wallapop.com/images/10420/iq/od/__/c10420p1133198442/i5653171644.jpg?pictureSize=W800,False,False,False,False,2025-05-17 17:06:50,2025-05-17 17:14:46,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > Consolas y accesorios > Consolas,https://es.wallapop.com/item/nacon-pro-control-ps4-negro-1133198442,yimi r.,undefined,Madrid,2023-11-30 13:07:18,https://cdn.wallapop.com/images/13/7d/cd/__/c13p445675541/i3603066825.jpg?pictureSize=W1024,yimir-445675541,https://www.wallapop.com/user/yimir-445675541?_pid=wi
9jdko8qll46k,8z8qodomnlz3,24200,Televisor Tecnimage - Gris plata,"Televisor Tecnimage en buen estado.  Es un televisor antiguo, con un diseño clásico y elegante.   - Pantalla grande. - Altavoces incorporados.",0.00 EUR,Punta Umbría,Andalucía,Huelva,21100,https://cdn.wallapop.com/images/10420/iq/p5/__/c10420p1133234412/i5653422988.jpg?pictureSize=W800,False,False,False,False,2025-05-17 19:46:58,2025-05-17 19:47:13,True,False,False,False,Tecnología y electrónica > Imagen: televisores y proyectores > TV,https://es.wallapop.com/item/televisor-tecnimage-gris-plata-1133234412,Monte G.,undefined,Punta Umbría,2020-11-18 23:06:57,https://cdn.wallapop.com/images/13/65/tg/__/c13p372569294/i1752414462.jpg?pictureSize=W1024,monteg-372569294,https://www.wallapop.com/user/monteg-372569294?_pid=wi
wzy4mr20w5z5,8j3y8nlk9269,24200,PS2 y PS3: Gran colección de juegos,"Precios negociables. Escucho ofertas. solo entrega en mano.  Vendo una estupenda colección de juegos para PlayStation 2 y PlayStation 3.  Las carátulas de los juegos están en buen estado, algunos con ligeras señales de uso.   - Incluye 61 juegos en total. - Títulos como FIFA, Grand Theft Auto, NBA, entre otros. - Perfectos para revivir la nostalgia de las consolas clásicas.",0.00 EUR,Sabadell,Cataluña,Barcelona,08200,https://cdn.wallapop.com/images/10420/iq/jf/__/c10420p1132968244/i5651443179.jpg?pictureSize=W800,False,False,False,False,2025-05-16 21:47:13,2025-05-16 22:16:08,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > Videojuegos y más > Videojuegos,https://es.wallapop.com/item/ps2-y-ps3-gran-coleccion-de-juegos-1132968244,Iván V.,undefined,Sabadell,2023-04-17 20:33:29,,ivanv-436818610,https://www.wallapop.com/user/ivanv-436818610?_pid=wi
qzmeqod84ljv,kmznlv7dlyjn,24200,Accesorios Wii,Accesorios Wii en perfecto estado Escucho ofertas,0.00 EUR,Madrid,Comunidad de Madrid,Madrid,28037,https://cdn.wallapop.com/images/10420/iq/ws/__/c10420p1133590532/i5655844959.jpg?pictureSize=W800,False,False,False,False,2025-05-19 06:27:27,2025-05-19 06:27:42,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > Consolas y accesorios > Accesorios y recambios de consolas,https://es.wallapop.com/item/accesorios-wii-1133590532,Ana M.,female,Madrid,2015-01-24 19:44:55,https://cdn.wallapop.com/images/13/0a/6q/__/c13p17110725/i2766696785.jpg?pictureSize=W1024,anam-17110725,https://www.wallapop.com/user/anam-17110725?_pid=wi
wzv4w0782qzl,kmznlv7dlyjn,24200,Juegos Wii,Juegos Wii Escucho ofertas,0.00 EUR,Madrid,Comunidad de Madrid,Madrid,28037,https://cdn.wallapop.com/images/10420/iq/ws/__/c10420p1133590641/i5655845814.jpg?pictureSize=W800,False,False,False,False,2025-05-19 06:28:39,2025-05-19 06:28:54,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > Videojuegos y más > Videojuegos,https://es.wallapop.com/item/juegos-wii-1133590641,Ana M.,female,Madrid,2015-01-24 19:44:55,https://cdn.wallapop.com/images/13/0a/6q/__/c13p17110725/i2766696785.jpg?pictureSize=W1024,anam-17110725,https://www.wallapop.com/user/anam-17110725?_pid=wi
qjw4x7wnwqzo,kmznlv7dlyjn,24200,Juegos Pc,Juegos Pc sin uso escucho ofertas,0.00 EUR,Madrid,Comunidad de Madrid,Madrid,28037,https://cdn.wallapop.com/images/10420/iq/wr/__/c10420p1133590305/i5655843481.jpg?pictureSize=W800,False,False,False,False,2025-05-19 06:25:02,2025-05-19 06:25:17,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > PC gaming y streaming > Juegos para PC,https://es.wallapop.com/item/juegos-pc-1133590305,Ana M.,female,Madrid,2015-01-24 19:44:55,https://cdn.wallapop.com/images/13/0a/6q/__/c13p17110725/i2766696785.jpg?pictureSize=W1024,anam-17110725,https://www.wallapop.com/user/anam-17110725?_pid=wi
mzn2ronwq0zn,vjrd9yx5896k,24200,Radio coche ,"estan como nueva, funciona perfectamente",0.00 EUR,El Viso del Alcor,Andalucía,Sevilla,41520,https://cdn.wallapop.com/images/10420/iq/xa/__/c10420p1133613873/i5655988949.jpg?pictureSize=W800,False,False,False,False,2025-05-19 08:20:47,2025-05-19 08:21:07,True,False,False,False,Tecnología y electrónica > Sonido: auriculares y altavoces > Dispositivos de sonido > Radio,https://es.wallapop.com/item/radio-coche-1133613873,María  V.,undefined,El Viso del Alcor,2021-09-14 13:31:28,,mariav-406256043,https://www.wallapop.com/user/mariav-406256043?_pid=wi
e658xp09126o,dqjw2n4gpwjo,24200,Pokémon espada.,Pokémon espada. Se vende con Steelbool. Tiene un pequeño arañazo. Escucho ofertas.,0.00 EUR,Murcia,Región de Murcia,Murcia,30570,https://cdn.wallapop.com/images/10420/iq/xl/__/c10420p1133628900/i5656105278.jpg?pictureSize=W800,False,False,False,False,2025-05-19 09:08:26,2025-05-19 09:08:37,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > Videojuegos y más > Videojuegos,https://es.wallapop.com/item/pokemon-espada-1133628900,David N.,male,Murcia,2017-02-14 15:01:08,https://cdn.wallapop.com/images/13/0z/zv/__/c13p60459953/i1377324351.jpg?pictureSize=W1024,dein-60459953,https://www.wallapop.com/user/dein-60459953?_pid=wi
qjw4x7vxrqzo,xzo8dmlxk469,24200,PS2: F1 05 & Pro Evolution Soccer 4,Los precios y juegos al privado  Negociable,0.00 EUR,Terrassa,Cataluña,Barcelona,08223,https://cdn.wallapop.com/images/10420/iq/vd/__/c10420p1133525529/i5655393630.jpg?pictureSize=W800,False,False,False,False,2025-05-18 20:09:12,2025-05-18 20:09:28,True,False,False,False,Tecnología y electrónica > Gaming: consolas y videojuegos > Videojuegos y más > Videojuegos,https://es.wallapop.com/item/ps2-f1-05-pro-evolution-soccer-4-1133525529,Ubay L.,undefined,Terrassa,2025-05-18 12:00:51,https://cdn.wallapop.com/images/13/7q/4t/__/c13p467158481/i3615274725.jpg?pictureSize=W1024,ubayl-467158481,https://www.wallapop.com/user/ubayl-467158481?_pid=wi
